date,open,close,high,low,volume
18-Jul-11,5581.75,5567.05,5596.6,5550.95,82766.57
19-Jul-11,5569.85,5613.55,5627.65,5557.2,99000.81
20-Jul-11,5642.05,5567.05,5645.4,5555.1,113152.55
21-Jul-11,5554.6,5541.6,5578.9,5532.7,100130.66
22-Jul-11,5576.95,5633.95,5642.2,5567.1,116327.69
25-Jul-11,5633.8,5680.3,5700.55,5616.7,114844.28
26-Jul-11,5688.45,5574.85,5702.25,5560.15,122966.17
27-Jul-11,5588.55,5546.8,5591.7,5521.5,116394.31
28-Jul-11,5492.4,5487.75,5512.1,5475.65,150182.15
29-Jul-11,5479,5482,5520.3,5453.95,124591.38
01-Aug-11,5527.5,5516.8,5551.9,5486.45,96044.79
02-Aug-11,5493.2,5456.55,5496.3,5433.65,95681.84
03-Aug-11,5402,5404.8,5422.6,5378.85,106014.07
04-Aug-11,5412.4,5331.8,5434.5,5323.15,112224.86
05-Aug-11,5204.35,5211.25,5229.65,5116.45,142738.75
08-Aug-11,5083.85,5118.5,5204.2,5054.05,134208.62
09-Aug-11,4947.9,5072.85,5167,4946.45,156454.28
10-Aug-11,5196.55,5161,5197.95,5123.35,120811.96
11-Aug-11,5128,5138.3,5184.95,5121,102360.93
12-Aug-11,5194.4,5072.95,5194.45,5053.35,112602.61
16-Aug-11,5125.75,5035.8,5132.2,5015.4,95895.17
17-Aug-11,5030.3,5056.6,5112.15,5017.25,104288.61
18-Aug-11,5077.95,4944.15,5078.6,4932.15,105102
19-Aug-11,4859.3,4845.65,4893.6,4796.1,126498.59
22-Aug-11,4843.7,4898.8,4910.05,4808.75,96179.56
23-Aug-11,4925.15,4948.9,4965.8,4863.8,101490.97
24-Aug-11,4934.35,4888.9,4962.4,4875.3,96318.72
25-Aug-11,4914.65,4839.6,4915.85,4825.05,133877.42
26-Aug-11,4839.25,4747.8,4872,4720,102675.9
29-Aug-11,4806.2,4919.6,4934.4,4806.05,94189
30-Aug-11,4973.25,5001,5016.25,4927.55,116874.93
02-Sep-11,5109.8,5040,5113.7,4993.35,129084.47
05-Sep-11,4998.9,5017.2,5030.3,4964.45,113415.45
06-Sep-11,4993.35,5064.3,5072.9,4942.9,128841.99
07-Sep-11,5080.15,5124.65,5154.5,5076.3,127537.3
08-Sep-11,5139.2,5153.25,5169.25,5098.25,113587.54
09-Sep-11,5161.3,5059.45,5163.75,5046.8,121292.85
12-Sep-11,4981.7,4946.8,4985.6,4911.25,98935.04
13-Sep-11,4977.8,4940.95,5030.15,4911.05,98327.32
14-Sep-11,4965.05,5012.55,5026.15,4917.4,108417.47
15-Sep-11,5062.35,5075.7,5091.45,4967.45,105825.89
16-Sep-11,5123.35,5084.25,5143.6,5068.1,142829.48
19-Sep-11,5068.4,5031.95,5068.4,5019.25,81841.6
20-Sep-11,5042.55,5140.2,5149.9,5035.25,102976.84
21-Sep-11,5153.75,5133.25,5168.4,5109.85,103328.74
22-Sep-11,5054.45,4923.65,5059.85,4907.75,104225.94
23-Sep-11,4873.75,4867.75,4930.25,4829.6,120428.52
26-Sep-11,4878.6,4835.4,4879.8,4758.85,107738.53
27-Sep-11,4905.15,4971.25,4982.95,4905.15,97800.1
28-Sep-11,5005.5,4945.9,5006.05,4918.45,102405.11
29-Sep-11,4924.2,5015.45,5034.25,4906,131216.21
30-Sep-11,4990.15,4943.25,5025.55,4924.3,112645.53
03-Oct-11,4874.4,4849.5,4879.15,4823.9,86826.77
04-Oct-11,4823.5,4772.15,4869.75,4728.3,114184.22
05-Oct-11,4791.3,4751.3,4827.8,4741,101309.06
07-Oct-11,4883.65,4888.05,4922.6,4861.2,109265.25
10-Oct-11,4886.85,4979.6,4991.15,4882.05,106163.11
11-Oct-11,5019.9,4974.35,5045.1,4964,114596.34
12-Oct-11,5011.2,5099.4,5109.8,4997.65,121445.75
13-Oct-11,5130.8,5077.85,5136.95,5067.65,112172.31
14-Oct-11,5057.35,5132.3,5141.4,5056.6,99303.65
17-Oct-11,5156.2,5118.25,5160.2,5084.5,91429.14
18-Oct-11,5049.45,5037.5,5057.5,5011.05,88116.08
19-Oct-11,5080.45,5139.15,5148.05,5075.3,94896.89
20-Oct-11,5086.55,5091.9,5099,5033.95,91278.44
21-Oct-11,5106.6,5049.95,5120.75,5037.95,89091.74
24-Oct-11,5114.7,5098.35,5145.65,5084.75,86426.1
25-Oct-11,5137.9,5191.6,5211,5085.55,147919.21
26-Oct-11,5214.95,5201.8,5219.25,5196.15,21853.33
28-Oct-11,5341.9,5360.7,5399.7,5322.8,143289.72
31-Oct-11,5358.9,5326.6,5360.25,5314.6,107127.14
01-Nov-11,5278.6,5257.95,5310.85,5238.3,97720.08
02-Nov-11,5216.75,5258.45,5300.1,5204.95,90786.99
03-Nov-11,5241.55,5265.75,5281.6,5201.85,98813.69
04-Nov-11,5325.4,5284.2,5326.45,5256.8,100885.49
08-Nov-11,5292.25,5289.35,5304.25,5252,81243.36
09-Nov-11,5309.7,5221.05,5317.5,5211.75,110241.64
11-Nov-11,5159.75,5168.85,5198.6,5142.25,114609.56
14-Nov-11,5217.35,5148.35,5228.9,5140.55,96488.24
15-Nov-11,5131.2,5068.5,5158.75,5052.85,94992.47
16-Nov-11,5059.1,5030.45,5065.2,4989.5,108438.77
17-Nov-11,5027.1,4934.75,5036.8,4919.45,96888.78
18-Nov-11,4899.15,4905.8,4915.9,4837.95,107353.71
21-Nov-11,4873.8,4778.35,4873.8,4764.8,90968.47
22-Nov-11,4794.85,4812.35,4854,4782.55,102004.1
23-Nov-11,4779.5,4706.45,4779.5,4640.95,103008.37
24-Nov-11,4707.55,4756.45,4771.1,4639.1,122220.49
25-Nov-11,4731.3,4710.05,4767.3,4693.1,99395.56
28-Nov-11,4769.3,4851.3,4859.1,4766.4,86426.33
29-Nov-11,4864.2,4805.1,4866.1,4787.1,97523.44
30-Nov-11,4766.15,4832.05,4851.55,4754.8,163429.92
01-Dec-11,4970.85,4936.85,5011.9,4916.7,103126.08
02-Dec-11,4940.85,5050.15,5062.55,4918.4,102413.06
05-Dec-11,5036.5,5039.15,5055.4,5002.55,81493.11
07-Dec-11,5050.1,5062.6,5099.25,5032.25,105637.6
08-Dec-11,5037.4,4943.65,5049.05,4921.45,100096.38
09-Dec-11,4870.75,4866.7,4918.35,4841.75,99522.4
12-Dec-11,4906.85,4764.6,4910.25,4755.55,92318.62
13-Dec-11,4733.6,4800.6,4824.7,4728.5,92833.83
14-Dec-11,4788.7,4763.25,4839.55,4750.4,97754.29
15-Dec-11,4712.8,4746.35,4768.65,4673.85,109311.18
16-Dec-11,4752.5,4651.6,4818.85,4628.2,110575.57
19-Dec-11,4623.15,4613.1,4623.15,4555.9,98686.88
20-Dec-11,4635.8,4544.2,4637.25,4531.15,95904.68
21-Dec-11,4636.45,4693.15,4707.35,4601.95,98894.46
22-Dec-11,4636.9,4733.85,4740.6,4632.95,95511.61
23-Dec-11,4763.2,4714,4763.45,4693.2,78703.99
26-Dec-11,4718.15,4779,4787.25,4718.15,51382.27
27-Dec-11,4780.2,4750.5,4800.5,4723.65,56409.04
28-Dec-11,4756.2,4705.8,4756.2,4685.65,62177.17
29-Dec-11,4681.15,4646.25,4701.8,4639.05,89259.81
30-Dec-11,4659.95,4624.3,4690.45,4608.9,66852.4
02-Jan-12,4640.2,4636.75,4645.95,4588.05,58214.59
